firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro,position
Alex,Abrines,,"[{'teamId': '1610612760', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '32', 'roundNum': '2', 'seasonYear': '2013'}",2016,2,G
Jaylen,Adams,St. Bonaventure,"[{'teamId': '1610612737', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,G
Steven,Adams,Pittsburgh,"[{'teamId': '1610612760', 'seasonStart': '2013', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '12', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,C
Bam,Adebayo,Kentucky,"[{'teamId': '1610612748', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '14', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,C-F
DeVaughn,Akoon-Purcell,Illinois State,"[{'teamId': '1610612743', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,G-F
LaMarcus,Aldridge,Texas,"[{'teamId': '1610612757', 'seasonStart': '2006', 'seasonEnd': '2014'}, {'teamId': '1610612759', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2006'}",2006,12,F
Rawle,Alkins,,"[{'teamId': '1610612741', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,G
Grayson,Allen,Duke,"[{'teamId': '1610612762', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,G
Jarrett,Allen,Texas,"[{'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '22', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,C
Al-Farouq,Aminu,Wake Forest,"[{'teamId': '1610612746', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612740', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612742', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612757', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612746', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2010'}",2010,8,F
Justin,Anderson,Virginia,"[{'teamId': '1610612742', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612755', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612737', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612742', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2015'}",2015,3,G-F
Kyle,Anderson,UCLA,"[{'teamId': '1610612759', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '30', 'roundNum': '1', 'seasonYear': '2014'}",2014,4,F
Ryan,Anderson,California,"[{'teamId': '1610612751', 'seasonStart': '2008', 'seasonEnd': '2008'}, {'teamId': '1610612753', 'seasonStart': '2009', 'seasonEnd': '2011'}, {'teamId': '1610612740', 'seasonStart': '2012', 'seasonEnd': '2015'}, {'teamId': '1610612745', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2008'}",2008,10,F
Ike,Anigbogu,California-Los Angeles,"[{'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '47', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,C
Giannis,Antetokounmpo,Greece,"[{'teamId': '1610612749', 'seasonStart': '2013', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '15', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,F
Kostas,Antetokounmpo,Dayton,"[{'teamId': '1610612742', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '60', 'roundNum': '2', 'seasonYear': '2018'}",,0,F
Carmelo,Anthony,Syracuse,"[{'teamId': '1610612743', 'seasonStart': '2003', 'seasonEnd': '2010'}, {'teamId': '1610612752', 'seasonStart': '2010', 'seasonEnd': '2016'}, {'teamId': '1610612760', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612745', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2003'}",2003,15,F
OG,Anunoby,Indiana,"[{'teamId': '1610612761', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '23', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,F
