firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro
Timofey,Mozgov,"St. Petersburg, Russia","[{'teamId': '1610612752', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612743', 'seasonStart': '2010', 'seasonEnd': '2014'}, {'teamId': '1610612739', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612747', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612753', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2010,8
Emmanuel,Mudiay,,"[{'teamId': '1610612743', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612752', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Dejounte,Murray,Washington,"[{'teamId': '1610612759', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '29', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Jamal,Murray,Kentucky,"[{'teamId': '1610612743', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Dzanan,Musa,,"[{'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612751', 'pickNum': '29', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Mike,Muscala,Bucknell,"[{'teamId': '1610612737', 'seasonStart': '2013', 'seasonEnd': '2017'}, {'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612742', 'pickNum': '44', 'roundNum': '2', 'seasonYear': '2013'}",2013,5
Svi,Mykhailiuk,Kansas,"[{'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '47', 'roundNum': '2', 'seasonYear': '2018'}",2018,0
Abdel,Nader,Iowa State,"[{'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612760', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '58', 'roundNum': '2', 'seasonYear': '2016'}",2017,1
Larry,Nance Jr.,Wyoming,"[{'teamId': '1610612747', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '27', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Shabazz,Napier,Connecticut,"[{'teamId': '1610612748', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612753', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612757', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '24', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Nene,,"Sao Carlos, Brazil","[{'teamId': '1610612743', 'seasonStart': '2002', 'seasonEnd': '2011'}, {'teamId': '1610612764', 'seasonStart': '2011', 'seasonEnd': '2015'}, {'teamId': '1610612745', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2002'}",2002,16
Raul,Neto,,"[{'teamId': '1610612762', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '47', 'roundNum': '2', 'seasonYear': '2013'}",2015,3
Georges,Niang,Iowa State,"[{'teamId': '1610612754', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '50', 'roundNum': '2', 'seasonYear': '2016'}",2016,2
