firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro
Rajon,Rondo,Kentucky,"[{'teamId': '1610612738', 'seasonStart': '2006', 'seasonEnd': '2014'}, {'teamId': '1610612742', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612758', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612741', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612740', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2006'}",2006,12
Derrick,Rose,Memphis,"[{'teamId': '1610612741', 'seasonStart': '2008', 'seasonEnd': '2015'}, {'teamId': '1610612752', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612750', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2008'}",2008,9
Terrence,Ross,Washington,"[{'teamId': '1610612761', 'seasonStart': '2012', 'seasonEnd': '2016'}, {'teamId': '1610612753', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2012'}",2012,6
Terry,Rozier,Louisville,"[{'teamId': '1610612738', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '16', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Ricky,Rubio,"El Masnou, Spain","[{'teamId': '1610612750', 'seasonStart': '2011', 'seasonEnd': '2016'}, {'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2009'}",2011,7
D'Angelo,Russell,Ohio State,"[{'teamId': '1610612747', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Domantas,Sabonis,Gonzaga,"[{'teamId': '1610612760', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '11', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Dario,Saric,,"[{'teamId': '1610612755', 'seasonStart': '2016', 'seasonEnd': '2018'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '12', 'roundNum': '1', 'seasonYear': '2014'}",2016,2
Tomas,Satoransky,,"[{'teamId': '1610612764', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '32', 'roundNum': '2', 'seasonYear': '2012'}",2016,2
Dennis,Schroder,Germany,"[{'teamId': '1610612737', 'seasonStart': '2013', 'seasonEnd': '2017'}, {'teamId': '1610612760', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '17', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Mike,Scott,Virginia,"[{'teamId': '1610612737', 'seasonStart': '2012', 'seasonEnd': '2016'}, {'teamId': '1610612764', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612746', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '43', 'roundNum': '2', 'seasonYear': '2012'}",2012,6
Thabo,Sefolosha,"Vevey, Switzerland","[{'teamId': '1610612741', 'seasonStart': '2006', 'seasonEnd': '2008'}, {'teamId': '1610612760', 'seasonStart': '2008', 'seasonEnd': '2013'}, {'teamId': '1610612737', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '13', 'roundNum': '1', 'seasonYear': '2006'}",2006,12
Wayne,Selden,Kansas,"[{'teamId': '1610612740', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612763', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2
Collin,Sexton,Alabama,"[{'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Landry,Shamet,Wichita State,"[{'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '26', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Iman,Shumpert,Georgia Tech,"[{'teamId': '1610612752', 'seasonStart': '2011', 'seasonEnd': '2014'}, {'teamId': '1610612739', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612758', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '17', 'roundNum': '1', 'seasonYear': '2011'}",2011,7
Pascal,Siakam,New Mexico State,"[{'teamId': '1610612761', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '27', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Ben,Simmons,Louisiana State,"[{'teamId': '1610612755', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2016'}",2017,1
Jonathon,Simmons,Houston,"[{'teamId': '1610612759', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612753', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2015,3
Anfernee,Simons,IMG Academy,"[{'teamId': '1610612757', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612757', 'pickNum': '24', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Marcus,Smart,Oklahoma State,"[{'teamId': '1610612738', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '6', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Ish,Smith,Wake Forest,"[{'teamId': '1610612763', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612745', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612744', 'seasonStart': '2011', 'seasonEnd': '2011'}, {'teamId': '1610612753', 'seasonStart': '2011', 'seasonEnd': '2012'}, {'teamId': '1610612749', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612756', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612760', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612755', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612755', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612740', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612765', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2010,8
Jason,Smith,Colorado State,"[{'teamId': '1610612755', 'seasonStart': '2007', 'seasonEnd': '2009'}, {'teamId': '1610612740', 'seasonStart': '2010', 'seasonEnd': '2013'}, {'teamId': '1610612752', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612753', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612764', 'seasonStart': '2016', 'seasonEnd': '2018'}, {'teamId': '1610612749', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '20', 'roundNum': '1', 'seasonYear': '2007'}",2007,10
Zhaire,Smith,Texas Tech,"[{'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '16', 'roundNum': '1', 'seasonYear': '2018'}",,0
Dennis,Smith Jr.,North Carolina State,"[{'teamId': '1610612742', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612742', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
Tony,Snell,New Mexico,"[{'teamId': '1610612741', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612749', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '20', 'roundNum': '1', 'seasonYear': '2013'}",2013,5
Ray,Spalding,Louisville,"[{'teamId': '1610612742', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '56', 'roundNum': '2', 'seasonYear': '2018'}",2018,0
Omari,Spellman,Villanova,"[{'teamId': '1610612737', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '30', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Nik,Stauskas,Michigan,"[{'teamId': '1610612758', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612755', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612757', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
DJ,Stephens,Memphis,"[{'teamId': '1610612749', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,1
Lance,Stephenson,Cincinnati,"[{'teamId': '1610612754', 'seasonStart': '2010', 'seasonEnd': '2013'}, {'teamId': '1610612766', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612763', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612746', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612740', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612750', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612754', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '40', 'roundNum': '2', 'seasonYear': '2010'}",2010,8
Edmond,Sumner,Xavier,"[{'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '52', 'roundNum': '2', 'seasonYear': '2017'}",2017,1
Caleb,Swanigan,Purdue,"[{'teamId': '1610612757', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612757', 'pickNum': '26', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
Jayson,Tatum,Duke,"[{'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
Jeff,Teague,Wake Forest,"[{'teamId': '1610612737', 'seasonStart': '2009', 'seasonEnd': '2015'}, {'teamId': '1610612754', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612750', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '19', 'roundNum': '1', 'seasonYear': '2009'}",2009,9
Garrett,Temple,Louisiana State,"[{'teamId': '1610612758', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612745', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612759', 'seasonStart': '2009', 'seasonEnd': '2010'}, {'teamId': '1610612766', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612749', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612764', 'seasonStart': '2012', 'seasonEnd': '2015'}, {'teamId': '1610612758', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2009,8
Milos,Teodosic,,"[{'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1
Jared,Terrell,Rhode Island,"[{'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
Daniel,Theis,,"[{'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1
Isaiah,Thomas,Washington,"[{'teamId': '1610612758', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612756', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612738', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612747', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612743', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '60', 'roundNum': '2', 'seasonYear': '2011'}",2011,7
Khyri,Thomas,Creighton,"[{'teamId': '1610612765', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '38', 'roundNum': '2', 'seasonYear': '2018'}",2018,0
Lance,Thomas,Duke,"[{'teamId': '1610612740', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612760', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612752', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2011,7
Klay,Thompson,Washington State,"[{'teamId': '1610612744', 'seasonStart': '2011', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '11', 'roundNum': '1', 'seasonYear': '2011'}",2011,7
Tristan,Thompson,Texas,"[{'teamId': '1610612739', 'seasonStart': '2011', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2011'}",2011,7
Sindarius,Thornwell,South Carolina,"[{'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '48', 'roundNum': '2', 'seasonYear': '2017'}",2017,1
Anthony,Tolliver,Creighton,"[{'teamId': '1610612759', 'seasonStart': '2008', 'seasonEnd': '2008'}, {'teamId': '1610612744', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612757', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612750', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612737', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612766', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612756', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612765', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612758', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612765', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2008,10
Karl-Anthony,Towns,Kentucky,"[{'teamId': '1610612750', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Gary,Trent Jr.,,[],"{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,
Allonzo,Trier,University of Arizona,"[{'teamId': '1610612752', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
PJ,Tucker,Texas,"[{'teamId': '1610612761', 'seasonStart': '2006', 'seasonEnd': '2006'}, {'teamId': '1610612756', 'seasonStart': '2012', 'seasonEnd': '2016'}, {'teamId': '1610612761', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612745', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '35', 'roundNum': '2', 'seasonYear': '2006'}",2006,7
Evan,Turner,Ohio State,"[{'teamId': '1610612755', 'seasonStart': '2010', 'seasonEnd': '2013'}, {'teamId': '1610612754', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612738', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612757', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2010'}",2010,8
Myles,Turner,Texas,"[{'teamId': '1610612754', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '11', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Ekpe,Udoh,Baylor,"[{'teamId': '1610612744', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612749', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612746', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '6', 'roundNum': '1', 'seasonYear': '2010'}",2010,6
Tyler,Ulis,Kentucky,"[{'teamId': '1610612756', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612741', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '34', 'roundNum': '2', 'seasonYear': '2016'}",2016,2
Jonas,Valanciunas,"Utena, Lithuania","[{'teamId': '1610612761', 'seasonStart': '2012', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2011'}",2012,6
Denzel,Valentine,Michigan State,"[{'teamId': '1610612741', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '14', 'roundNum': '1', 'seasonYear': '2016'}",2016,2
Jarred,Vanderbilt,Kentucky,"[{'teamId': '1610612743', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '41', 'roundNum': '2', 'seasonYear': '2018'}",,0
Fred,VanVleet,Wichita State,"[{'teamId': '1610612761', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2
Noah,Vonleh,Indiana,"[{'teamId': '1610612766', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612757', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612741', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612752', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Nikola,Vucevic,Southern California,"[{'teamId': '1610612755', 'seasonStart': '2011', 'seasonEnd': '2011'}, {'teamId': '1610612753', 'seasonStart': '2012', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '16', 'roundNum': '1', 'seasonYear': '2011'}",2011,7
Dwyane,Wade,Marquette,"[{'teamId': '1610612748', 'seasonStart': '2003', 'seasonEnd': '2015'}, {'teamId': '1610612741', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612748', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '2003'}",2003,15
Moritz,Wagner,Michigan,"[{'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '25', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
Dion,Waiters,Syracuse,"[{'teamId': '1610612739', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612760', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612748', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2012'}",2012,6
Kemba,Walker,Connecticut,"[{'teamId': '1610612766', 'seasonStart': '2011', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2011'}",2011,7
Lonnie,Walker IV,Miami (FL),"[{'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '18', 'roundNum': '1', 'seasonYear': '2018'}",,0
John,Wall,Kentucky,"[{'teamId': '1610612764', 'seasonStart': '2010', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2010'}",2010,8
Tyrone,Wallace,California,"[{'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '60', 'roundNum': '2', 'seasonYear': '2016'}",2017,1
Brad,Wanamaker,Pittsburgh,"[{'teamId': '1610612738', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
T.J.,Warren,North Carolina State,"[{'teamId': '1610612756', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '14', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Yuta,Watanabe,George Washington,"[{'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
Thomas,Welsh,California-Los Angeles,"[{'teamId': '1610612743', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '58', 'roundNum': '2', 'seasonYear': '2018'}",2018,0
Russell,Westbrook,UCLA,"[{'teamId': '1610612760', 'seasonStart': '2008', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2008'}",2008,10
Derrick,White,Colorado,"[{'teamId': '1610612759', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '29', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
Okaro,White,Florida State,"[{'teamId': '1610612748', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612764', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2
Hassan,Whiteside,Marshall,"[{'teamId': '1610612758', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612748', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '33', 'roundNum': '2', 'seasonYear': '2010'}",2010,6
Andrew,Wiggins,Kansas,"[{'teamId': '1610612750', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612739', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
Alan,Williams,California-Santa Barbara,"[{'teamId': '1610612756', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612751', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2015,3
C.J.,Williams,North Carolina State,"[{'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1
Johnathan,Williams,Gonzaga,"[{'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
Kenrich,Williams,,"[{'teamId': '1610612740', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0
Lou,Williams,South Gwinnett HS (GA),"[{'teamId': '1610612755', 'seasonStart': '2005', 'seasonEnd': '2011'}, {'teamId': '1610612737', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612761', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612747', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612745', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '45', 'roundNum': '2', 'seasonYear': '2005'}",2005,13
Marvin,Williams,North Carolina,"[{'teamId': '1610612737', 'seasonStart': '2005', 'seasonEnd': '2011'}, {'teamId': '1610612762', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612766', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2005'}",2005,13
Troy,Williams,Indiana,"[{'teamId': '1610612763', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612745', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612752', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612758', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2
Robert,Williams III,Texas A&amp;M;,"[{'teamId': '1610612738', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '27', 'roundNum': '1', 'seasonYear': '2018'}",2018,0
D.J.,Wilson,Michigan,"[{'teamId': '1610612749', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '17', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
Justise,Winslow,Duke,"[{'teamId': '1610612748', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '10', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Christian,Wood,Nevada-Las Vegas,"[{'teamId': '1610612755', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612766', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612749', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2015,2
Delon,Wright,Utah,"[{'teamId': '1610612761', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612761', 'pickNum': '20', 'roundNum': '1', 'seasonYear': '2015'}",2015,3
Guerschon,Yabusele,,"[{'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '16', 'roundNum': '1', 'seasonYear': '2016'}",2017,1
